video_id,categoryId,how_fast,amount_trending
0zK_DOe7I08,24,0,5
0zL7B1P0_LU,24,0,10
0zQDa4ttPzM,19,1,11
0zgZoyT1iow,24,0,12
0zjDQe4LnAA,1,0,13
0zk0K1JwaNg,24,1,9
0zwMMLaM260,22,0,10
1-2csgMkYgU,22,0,11
1-GmHPBRt7Q,22,1,6
1-rD_vr_2xQ,10,0,11
1031igGAx1c,26,0,9
10JD_pB8x_4,24,0,13
10TUSjsvZzQ,24,0,9
10WWFj4jWYE,23,0,1
10klzuDli9M,23,0,15
11F9ugHvyDw,24,0,10
11MmUCL2Gbg,2,0,7
11cta61wi0g,10,0,18
11eavLPs7sI,23,1,12
11gNBET-Iak,24,4,8
11jTMEb6kvI,10,1,11
11m61MSI1yk,22,0,10
128f-F3sGe0,10,0,12
